service_id,date,exception_type
"1","20230206","2"
"1","20230317","2"
"1","20230410","2"
"1","20230501","2"
"2","20230130","2"
"2","20230213","2"
"2","20230220","2"
"2","20230227","2"
"2","20230306","2"
"2","20230313","2"
"2","20230317","1"
"2","20230320","2"
"2","20230327","2"
"2","20230403","2"
"2","20230417","2"
"2","20230424","2"
"2","20230508","2"
"2","20230515","2"
"2","20230522","2"
"2","20230529","2"
