Sender RSU ID,Receiver RSU ID,Send Time,Receive Time
bus7,bus1,4,4.259464722899
car1,bus4,4,4.382924131329
car1,bus4,4,4.382924169323
car1,bus4,4,4.382924172428
bus4,car1,4,4.999350667143
bus4,car1,4,4.999350689788
bus4,car1,4,4.999350739688
bus4,car1,4,4.999350748451
bus1,bus7,4,5.054323351087
bus4,car1,5,5.594696677454
bus4,car1,5,5.59469669098
bus4,car1,5,5.594696732912
bus4,car1,5,5.594696755617
bus7,bus1,5,5.668876737846
bus1,bus7,5,5.780752351087
car1,bus4,5,5.97335614164
car1,bus4,5,5.973356164629
car1,bus4,5,5.973356178001
car1,bus0,6,6.181425499865
car1,bus0,6,6.181425518784
bus0,car1,6,6.378433682805
bus0,car1,6,6.378433698339
bus0,car1,6,6.37843371678
bus0,car1,6,6.378433727813
bus4,car1,6,6.557685682805
bus4,car1,6,6.557685698339
bus4,car1,6,6.55768571678
bus4,car1,6,6.557685727813
car1,bus4,6,6.570818740744
car1,bus4,6,6.57081875153
car1,bus4,6,6.570818783329
bus7,bus1,6,6.786413746654
bus1,bus7,6,6.986667359895
car1,bus0,7,7.264590478494
car1,bus0,7,7.264590493249
car1,bus0,7,7.264590536218
bus8,bus7,7,7.267713332717
bus8,bus7,7,7.267713358577
bus4,car1,7,7.495294683032
bus4,car1,7,7.495294687523
bus4,car1,7,7.495294703201
bus4,car1,7,7.495294710394
bus4,car1,7,7.495294728285
bus8,bus1,7,7.562961745336
bus8,bus1,7,7.562961782804
bus7,bus8,7,7.575639820272
bus7,bus8,7,7.5756398836
bus1,bus8,7,7.684642363554
bus1,bus8,7,7.684642426882
bus1,bus7,7,7.756117332717
bus1,bus7,7,7.756117358577
bus0,car1,7,7.781117799364
bus0,car1,7,7.781117803855
bus0,car1,7,7.781117819533
bus0,car1,7,7.781117826726
bus0,car1,7,7.781117844617
bus7,bus1,7,7.863936745336
bus7,bus1,7,7.863936782804
car1,bus4,7,7.865257134305
car1,bus4,7,7.865257147218
car1,bus4,7,7.865257153802
car1,bus4,7,7.865257206345
car1,bus4,7,7.865257209433
car1,bus4,7,7.865257210111
bus0,bus4,7,7.894565224811
bus0,bus4,7,7.894565237724
bus0,bus4,7,7.894565244308
bus0,bus4,7,7.894565296851
bus0,bus4,7,7.894565299939
bus0,bus4,7,7.894565300617
bus0,car1,8,8.059427650352
bus0,car1,8,8.059427682622
bus0,car1,8,8.059427694527
bus0,car1,8,8.05942772338
bus0,car1,8,8.0594277366
bus4,car1,8,8.154422650352
bus4,car1,8,8.154422682622
bus4,car1,8,8.154422694527
bus4,car1,8,8.15442272338
bus4,car1,8,8.1544227366
bus0,bus4,8,8.1560377366
bus0,bus4,8,8.156037740378
bus0,bus4,8,8.15603774941
bus0,bus4,8,8.156037764222
bus0,bus4,8,8.156037788298
bus0,bus4,8,8.156037815969
bus1,bus8,8,8.168665378585
bus1,bus8,8,8.168665442212
bus8,bus1,8,8.198659505839
bus8,bus1,8,8.198659558338
bus7,bus8,8,8.480651378585
bus7,bus8,8,8.480651442212
car1,bus4,8,8.66775314303
car1,bus4,8,8.667753146808
car1,bus4,8,8.66775315584
car1,bus4,8,8.667753170652
car1,bus4,8,8.667753194728
car1,bus4,8,8.667753222399
bus4,bus0,8,8.784857441323
bus4,bus0,8,8.784857491269
bus4,bus0,8,8.784857497437
bus4,bus0,8,8.78485753902
car1,bus0,8,8.865280675838
car1,bus0,8,8.865280725784
car1,bus0,8,8.865280731952
car1,bus0,8,8.865280773535
bus7,bus1,8,8.873712745635
bus7,bus1,8,8.873712798134
bus1,bus7,8,9.054297353988
bus1,bus7,8,9.054297363911
bus8,bus7,8,9.083056353988
bus8,bus7,8,9.083056363911
bus7,bus1,9,9.15514875067
bus7,bus1,9,9.155148809409
bus7,bus1,9,9.15514881473
bus1,bus7,9,9.188496809409
bus1,bus7,9,9.188496819332
bus8,bus7,9,9.369481353988
bus8,bus7,9,9.369481363911
car1,bus0,9,9.454697435795
car1,bus0,9,9.454697459298
car1,bus0,9,9.454697494988
car1,bus0,9,9.454697513343
car1,bus0,9,9.454697522846
car1,bus4,9,9.694052132513
