Sender RSU ID,Receiver RSU ID,Send Time,Receive Time
12,11,0,0.054201999772
2,1,0,0.054248414581
8,7,0,0.054275182481
8,9,0,0.054275182481
1,0,0,0.05435551465
4,3,0,0.054363750687
10,11,0,0.054414739363
7,6,0,0.054460625017
7,5,0,0.054460670711
3,4,0,0.054470850756
12,11,0,0.054480999772
1,0,0,0.05450151465
10,11,0,0.054560739363
5,6,0,0.05456777078
8,9,0,0.054580738428
1,0,0,0.05460851465
1,2,0,0.05460851465
12,11,0,0.054626999772
4,3,0,0.054674837493
10,11,0,0.054706739363
2,1,0,0.054715614719
12,11,0,0.054759999772
4,3,0,0.054794837493
5,6,0,0.054794904206
2,1,0,0.054822614719
10,11,0,0.054839739363
2,1,0,0.054929614719
7,6,0,0.055009023285
7,8,0,0.055009036627
4,3,0,0.055021970919
1,0,0,0.055036714788
1,2,0,0.055036714788
9,8,0,0.055060838497
6,7,0,0.055116110012
11,12,0,0.055133099841
11,10,0,0.055133133198
1,0,0,0.055156714788
8,7,0,0.055167938566
8,9,0,0.055167938566
6,7,0,0.055236110012
1,0,0,0.055263714788
1,2,0,0.055263714788
9,8,0,0.055275038635
6,7,0,0.055343110012
11,12,0,0.055347366693
11,10,0,0.05534740005
4,3,0,0.055356290136
8,7,0,0.055395138704
8,9,0,0.055395138704
2,1,0,0.055396814857
5,6,0,0.055450223423
5,7,0,0.055450255775
9,8,0,0.055502238773
1,0,0,0.055503914926
1,2,0,0.055503914926
6,7,0,0.05555731015
10,11,0,0.055574533476
4,3,0,0.055596290136
8,7,0,0.055609338842
8,9,0,0.055609338842
12,11,0,0.055626466762
2,1,0,0.055637014995
5,4,0,0.055677390205
5,6,0,0.055677423561
5,7,0,0.055677455913
10,11,0,0.055694533476
9,8,0,0.055716438911
3,4,0,0.055729390205
1,0,0,0.055744115064
1,2,0,0.055744115064
12,11,0,0.055759466762
7,6,0,0.05578454264
7,5,0,0.055784588334
10,11,0,0.055814533476
1,0,0,0.055864115064
1,2,0,0.055864115064
7,8,0,0.055891555982
9,8,0,0.055969438911
4,3,0,0.055969490274
2,1,0,0.055971215133
11,12,0,0.055986566831
11,10,0,0.055986600188
6,7,0,0.055998629367
4,5,0,0.056076456918
4,3,0,0.056076490274
8,7,0,0.05607653898
12,11,0,0.0560936669
1,0,0,0.056104315202
1,2,0,0.056104315202
6,7,0,0.056131629367
6,5,0,0.056131642709
8,9,0,0.05619653898
1,0,0,0.056211315202
11,12,0,0.056213766969
11,10,0,0.056213800326
4,3,0,0.056303490274
1,0,0,0.056318315202
1,2,0,0.056318315202
11,12,0,0.056346766969
11,10,0,0.056346800326
7,6,0,0.056410625707
7,8,0,0.056410639049
7,5,0,0.056410671401
3,4,0,0.056436590343
2,1,0,0.056451415271
11,12,0,0.056479766969
11,10,0,0.056479800326
8,9,0,0.056517739118
5,6,0,0.05651777147
1,0,0,0.05655851534
1,2,0,0.05655851534
5,6,0,0.05662477147
4,3,0,0.056624838183
11,12,0,0.056625766969
11,10,0,0.056625800326
8,9,0,0.056663739118
2,1,0,0.056665615409
7,8,0,0.056731903891
4,3,0,0.056744838183
11,12,0,0.056758766969
11,10,0,0.056758800326
7,6,0,0.056838890549
7,8,0,0.056838903891
7,5,0,0.056838936243
3,4,0,0.056864938252
11,12,0,0.056878766969
11,10,0,0.056878800326
7,8,0,0.056945903891
11,12,0,0.056985766969
11,10,0,0.056985800326
5,4,0,0.057053002956
8,9,0,0.05705300396
11,12,0,0.057092766969
11,10,0,0.057092800326
5,4,0,0.057173002956
5,6,0,0.057173036312
5,7,0,0.057173068664
11,12,0,0.057238766969
11,10,0,0.057238800326
7,6,0,0.057293155391
7,8,0,0.057293168733
7,5,0,0.057293201085
11,12,0,0.057358766969
11,10,0,0.057358800326
7,6,0,0.057400155391
7,8,0,0.057400168733
7,5,0,0.057400201085
