Sender RSU ID,Receiver RSU ID,Send Time,Receive Time
bus1,bus7,6,6.389835692776
bus7,bus1,6,6.697255715553
bus7,bus1,7,7.058749720159
bus4,car1,7,7.563821660439
bus4,car1,7,7.563821690667
bus4,car1,7,7.563821734216
bus4,car1,7,7.56382175421
bus1,bus7,7,7.961248697382
car1,bus4,7,7.998389931397
car1,bus4,7,7.998389976095
car1,bus4,7,7.9983899792
bus1,bus7,8,8.270153700447
car1,bus4,8,8.372389937174
car1,bus4,8,8.372389975117
car1,bus4,8,8.372389980265
bus7,bus1,8,8.390898723224
bus4,car1,8,8.580110666216
bus4,car1,8,8.580110689732
bus4,car1,8,8.580110740305
bus4,car1,8,8.580110747816
bus7,bus1,9,9.193589722972
bus4,car1,9,9.392980664773
bus4,car1,9,9.392980689598
bus4,car1,9,9.392980742684
bus4,car1,9,9.392980745394
car1,bus4,9,9.485792935731
car1,bus4,9,9.485792971017
car1,bus4,9,9.485792985288
bus1,bus7,9,9.560962700195
bus1,bus7,10,10.094528697143
bus4,car1,10,10.174975666525
bus4,car1,10,10.174975690118
bus4,car1,10,10.174975737087
bus4,car1,10,10.174975751159
bus7,bus1,10,10.55702071992
car1,bus4,10,10.999429937483
car1,bus4,10,10.999429968589
car1,bus4,10,10.999429988825
bus4,car1,11,11.089106668861
bus4,car1,11,11.089106691592
bus4,car1,11,11.089106730742
bus4,car1,11,11.089106757992
car1,bus4,11,11.159623939819
car1,bus4,11,11.159623966224
car1,bus4,11,11.159623992888
bus7,bus1,11,11.292588722867
bus1,bus7,11,11.66202870009
car1,bus4,12,12.26031293971
car1,bus4,12,12.26031296357
car1,bus4,12,12.260312998735
bus0,car1,12,12.481709668752
bus0,car1,12,12.481709693828
bus0,car1,12,12.481709724862
bus0,car1,12,12.481709748392
car1,bus0,12,12.654385504584
car1,bus0,12,12.654385539363
bus1,bus7,12,12.694450701965
bus4,car1,12,12.857490668752
bus4,car1,12,12.857490693828
bus4,car1,12,12.857490724862
bus4,car1,12,12.857490748392
bus7,bus1,12,13.083254722903
bus7,bus1,12,13.083254759914
bus7,bus1,13,13.466380722903
bus7,bus1,13,13.466380759914
bus1,bus7,13,13.672376696242
bus1,bus7,13,13.672376700126
bus8,bus7,13,13.677761696242
bus8,bus7,13,13.677761700126
bus4,car1,13,13.77271366732
bus4,car1,13,13.772713695663
bus4,car1,13,13.772713701079
bus4,car1,13,13.772713721192
bus4,car1,13,13.772713734745
car1,bus4,13,13.785573701079
car1,bus4,13,13.785573709774
car1,bus4,13,13.785573733473
car1,bus4,13,13.785573775213
car1,bus4,13,13.785573798237
bus7,bus8,13,13.786239324013
bus7,bus8,13,13.786239364908
bus8,bus1,13,13.863988722903
bus8,bus1,13,13.863988759914
bus0,car1,13,13.87350666732
bus0,car1,13,13.873506695663
bus0,car1,13,13.873506701079
bus0,car1,13,13.873506721192
bus0,car1,13,13.873506734745
bus1,bus8,13,13.883283796925
bus1,bus8,13,13.88328383782
car1,bus0,13,14.064148497833
car1,bus0,13,14.064148514388
bus7,bus8,14,14.176203324647
bus7,bus8,14,14.176203367996
bus1,bus8,14,14.191793324647
bus1,bus8,14,14.191793367996
bus8,bus7,14,14.254436696876
bus8,bus7,14,14.25443670258
bus1,bus7,14,14.260172696876
bus1,bus7,14,14.26017270258
bus7,bus1,14,14.554368725357
bus7,bus1,14,14.554368763002
bus0,car1,14,14.65920666703
bus0,car1,14,14.659206698131
bus0,car1,14,14.659206706275
bus0,car1,14,14.659206717094
bus0,car1,14,14.659206723417
bus4,car1,14,14.77351966703
bus4,car1,14,14.773519698131
bus4,car1,14,14.773519706275
bus4,car1,14,14.773519717094
bus4,car1,14,14.773519723417
bus8,bus1,14,14.893082725357
bus8,bus1,14,14.893082763002
car1,bus4,14,14.966084935069
car1,bus4,14,14.966084937988
car1,bus4,14,14.966084961005
car1,bus4,14,14.966085008516
car1,bus4,14,14.966085021623
car1,bus0,14,15.066280495416
car1,bus0,14,15.066280501479
car1,bus0,14,15.06628054325
bus1,bus7,15,15.168216700525
bus1,bus7,15,15.16821670532
car1,bus4,15,15.186104937143
car1,bus4,15,15.186104937815
car1,bus4,15,15.186104960551
car1,bus4,15,15.186105013816
car1,bus4,15,15.186105016176
car1,bus4,15,15.186105023237
bus7,bus1,15,15.261271728097
bus7,bus1,15,15.261271769391
bus8,bus1,15,15.354368728097
bus8,bus1,15,15.354368769391
bus0,bus4,15,15.373897937143
bus0,bus4,15,15.373897937815
bus0,bus4,15,15.373897960551
bus0,bus4,15,15.373898013816
bus0,bus4,15,15.373898016176
bus0,bus4,15,15.373898023237
bus0,car1,15,15.454409666857
bus0,car1,15,15.454409701252
bus0,car1,15,15.454409708176
bus0,car1,15,15.454409710508
bus0,car1,15,15.454409712763
